text,topic,probability,topic_label
"i am writing you to file a complaint about an unresolved issue with my credit card chase and their benefit and travel departments. this has been my second travel related credit issue with chase. my first experience with chase was also about a credit that they were supposed to process. chase was either unresponsive or slow. i finally ended up contacting the airlines directly and got a much quicker response and resolution from them. 

my more recent issue with chase has been my most stressful and frustrating experience when dealing with any credit card company or for that matter any other company that offers products or services. i am a chase sapphire card holder who has been using the card regularly for purchases amounting to hundreds or thousands of dollars every month. i have an excellent payment history with most of the bills paid in full every month. 


in xxxx  of 2019, i bought my xxxx airline ticket for an overseas trip through chase using my accumulated chase points. my father passed away overseas a week before my trip. i had to cancel my original trip and leave immediately so i called chase to cancel my ticket. despite, under a lot of stress and in grief, i had to be on the phone with them for hours. i was put on long holds, transferred to different departments and still did not receive a definitive answer about cancelation of my trip and credit to my account. 


according to the last customer representative that i spoke with that night, they had to send an email to a different department and that i could follow up with them the following week by tuesday or wednesday as they would have processed my cancelation by then. unfortunately, it is extremely difficult, if not impossible, to be calling from overseas and be on the phone with the credit card company for hours. i had to authorize my husband to follow up on my behalf the following week before his upcoming trip overseas as he had to leave on xx/xx/xxxx, which was our original plan. 


my husband called them few times and went through the same process of being on the phone for hours either being on hold or being transferred to different departments. he spoke with the main customer service, the benefits and the chase travel. initially, a representative advised him to contact xxxx  directly to cancel my ticket. finally, after further research, the same representative that he spoke to in the benefit department told him that we should expect to receive a credit because of the death in the family, the representative assigned us a case number and told my husband that chase would get the refund from xxxx on our behalf. according to him, all we needed was a death certificate. since we were both expected to be out of the country for few weeks, the representative told my husband that the credit could be processed anytime upon our return or soon after the chase received the death certificate from us. 

in xxxx, while still overseas, i received an e-mail on xxxx, xxxx from xxxx in chase travel who was following up with the death certificate. i e-mailed chase travel department the scanned copy of the death certificate as soon as it became available to me. i even e-mailed them a translation of the death certificate which was neither required by chase or xxxx. i sent it to xxxx who had contacted me on xxxx, xxxx by responding to her e-mail from xxxx, xxxx and then forwarded it again to her to make sure that they received it. for personal and family reasons, i ended up staying a little longer than expected and retuned to the united states on xxxx. there was still no acknowledgment from xxxx or anyone from chase travel or any other department acknowledging the receipt of my e-mail from xxxx or any other update. soon after my return, i had to send the travel department my father 's death certificate for the third time and even tried to follow up with a phone call. i also tried to send them an e-mail on xx/xx/xxxx, expressing my disappointment and requesting an update. i also tried to correspond with chase customer service and chase travel through my online chase account. 

chase travel finally responded with an acknowledgement through an e-mail that they had received and located the death certificate that i had sent them. the e-mail was from xxxx, one of the travel consultant supervisor for chase travel. according to her, they had forwarded the death certificate to xxxx. she apologized for my experience with them and also asked me to disregard any other emails from them requesting documentation. during this whole ordeal with chase, i had contacted xxxx numerous times and spoke to different representatives. according to xxxx, in order for chase to process my credit, they didn't need to forward the death certificate to xxxx. 

in one of my initials calls to chase after my return to the united states, i found out that the case number / reference number assigned to us and given to my husband by the by chase benefits department in xxxx could not be used as a reference because i was told that it did not exist in their system. in xxxx and xxxx, i spoke to several people and few supervisors hoping that they could resolve my issue. customer service agents who seemed willing to help did not have the authority to resolve my issue as there was no outcome and i ended up wasting several hours without any resolution in sight. 

there was one supervisor in chase travel department, which was probably being managed by xxxx, named xxxx, whom i ended up speaking with twice. during our brief conversation, she flatly refused to help me or answer any questions. she had the most condescending attitude that i have ever experienced from an agent affiliated with any company. she refused to give me an update or call xxxx. she refused to transfer me to her manager or anyone that could assist me. to top it all, she told me i needed a proof that i was related to the deceased which was contrary to what i had been told up till that point that all i needed was a death certificate. i called xxxx and according to them, a proof of relationship was not necessary or required. xxxx told me that it was their policy that all that was needed was a death certificate and chase should have processed my credit as soon as they received it. 

in xxxx, i emailed and i called chase few times and each time i was promised that a supervisor would get back to me which never happened. one of the last representatives that that i spoke with was on xxxx, xxxx, who was from chase benefits department. to my utter shock and surprise, he told me that they didn't have any type of claim for me on file. i was beyond hope at that point. he then transferred me once again to their travel department. the representative there told me that they were still waiting to hear from xxxx. i requested to speak with a supervisor and she told me it would be two hours before i could speak with one. she promised that a supervisor would call me back but as always, i never heard from anyone. 

after several weeks on the phone with chase and after speaking to xxxx multiple times who repeatedly told me that the delay was from chase, i finally decided that i would wait and see if the issue would be resolved. today is xx/xx/xxxx and chase has still not processed my credit and followed up or called back in response to any of my previous phone calls even when they promised that i would receive a phone call. 

i have finally decided that i am going to file a formal complaint with every private, state and federal consumer protection agency or organization. i would share my experience on any relevant online or offline forums available to me. i have been a great customer. i may have been frustrated with my experience but have always been respectful in my communications with chase or its representatives. i have been managing my credit responsibly over the years, had several premium credit card offers as i had met their criteria to apply for their cards with similar benefits as chase sapphire. i decided to go with chase and was hopeful that i would take advantage of their travel benefits. i spent thousands of dollars using my chase card even though some of my other cards also offered attractive benefits. 

as stated earlier, i fulfilled my obligation of using credit responsibly and of paying my bills. chase on the other hand, failed to issue me a credit and fulfill its promise. a timely credit, under the circumstances, was my right. it was according to and within the rules set by both the chase and xxxx airlines. unfortunately, i was never able to utilize the points that i had accumulated. a credit card company at the very least should treat every customer with respect, follow their own rules, keep their promises and follow up with their customers and if required and within the rules, be its customer 's adovocate on his or her behalf when dealing with third parties. i feel that chase fell short of these basic standards and expectations. it with deep regret that i have to reconsider my business relationship with them. it is a shame that a well known company like chase offering a premium card such as, chase sapphire and charging a $ xxxx yearly membership fee for it, would have such a poor service. it is either a case of extreme mismanagement by chase or a system deliberately designed in such a way that it only benefits the company at the expense of its customers.",-1,0.0,-1_the_xxxx_to_and
"my dispute is for not receiving services listed below : -- one night at the hotel in xxxx {$730.00} for friday xx/xx/2018. 
-- transportation to the hotel {$170.00} for friday xx/xx/2018. 
-- private city tour of xxxx {$220.00} for friday xx/xx/2018. 
-- xxxx xxxx private tour {$150.00} for friday xx/xx/2018. 
grand total of {$1200.00} reason for not receiving the services was that xxxx cancelled the flight from xxxx to xxxx for mechanical reasons. 
i started the process for the of the refund thru xxxx xxxx, i was told by xxxx xxxx that i needed to request the refund thru xxxx, which i did, i requested the refund and was told by xxxx that since i didn't purchase the ticket directly thru them but it was done thru a 3rd party i needed to go thru xxxx xxxx, i went back to them and was told that they will not refund me. 
i then started a dispute with my credit card chase visa for the charges, the credit card dispute department closed my dispute saying that the vendor stated that i did receive the services which is not true but my credit card closed the dispute after several attempts by me to reopen the dispute.",-1,0.0,-1_the_xxxx_to_and
"a student loan with chase bank, they sold there accounts to xxxx - which now holds my account. this happened back in 2013. though i have made numerous attempts to contact them, they do not respond and they tell me know one works in that department any more so there is no one to contact. because of this, instead of saying sold on my credit report it shows that i am very behind on payments and it is hurting my credit. i have called them and mailed letter, and no response.",-1,0.0,-1_the_xxxx_to_and
"i advised chase of the billing error for goods and services not received. chase refused to file a claim and said i had to call back another day. per reg z a financial institution can be notified in writing, mail, or by phone and the institution must start investigating the billing error once notified. 

call to chase took place on xx/xx/2019. representative said he would simply notate account. i asked when funds would be credited to account, and he ignored the question and ended the call.",-1,0.0,-1_the_xxxx_to_and
"on xx/xx/xxxx i received an advertisement via email that new chase customers could get {$300.00} for opening a new chase total checking account with the set up direct deposit, and an additional {$200.00} for new chase savings customers who open a chase savings account, and deposit a total of {$15000.00} or more in new money within 20 business days, and maintain a {$15000.00} balance for 90 days. i careful read all of the disclosures and was sure to follow all steps correctly to be eligible for both offers to receive the combined {$500.00} offer. i opened my accounts online on chase 's website on xx/xx/xxxx. to date ( xx/xx/xxxx ) i still have not received either offer, despite numerous attempts to work with chase employees to resolve this. ( on xx/xx/xxxx i deposited {$20000.00} into the savings account, well within the 20 business days of account opening. ) when i contacted chase at the  end of xxxx to discuss my concern. i called the customer service line and spoke with a supervisor. he informed me there was nothing he could do without the coupon code. i explained i do not have the coupon code ( at the time ) and the call ended. i later found the coupon code and called back. during this call a lady informed me that regardless of having the coupon code there was nothing that could be done to investigate/resolve this. she then told me the reason i did not receive the bonus offers for opening either account is because i did not enter the coupon code at the time i opened the account online. that was the only reason i did not receive the bonus amounts. 

during the online account opening process chase 's website stated "" if you open the account online, your coupon code will be automatically applied ''. furthermore, the email i received ( will be attached for reference ) specifically states, "" your coupon code will be automatically applied. account ( s ) subject to approval. '' as a result, two sources confirmed that the coupon code would be automatically applied, therefore i don't recall entering the coupon, because it was being added automatically for me. 

i am very frustrated with my chase experience and the lack of payment of these bonus offers i rightfully earned. after phone customer service supervisors told me there was nothing they could do i contacted local branch management. they advised me to contact the phone customer service and said they could not help me. i am very upset about this entire experience. i want to be compensated {$500.00} to cover the {$200.00} and {$300.00} offers i should have earned. i followed all of the terms and disclosures correctly. please investigate this matter and contact me back. thank you",-1,0.0,-1_the_xxxx_to_and
"xxxx xxxx a sofa, love seat, table and chairs and was never delivered. debit card charged {$2400.00}. bank says visa denied claim, we have no furniture and no money.",-1,0.0,-1_the_xxxx_to_and
"i have contacted both chase bank and xxxx xxxx about credit inquiries which i did not initiate. 
both companies assured me they would correct these inaccuracies. in reviewing my credit reports with xxxx amd xxxx none of the companies involved have done so. 
xxxx xx/xx/xxxx and xxxx xxxx xxxx xxxx xx/xx/xxxx i have not applied for credit for over two years",-1,0.0,-1_the_xxxx_to_and
unknown inquire reported on my credit bureau such as xxxx   and xxxx date xx/xx/2019name of company chase auto,-1,0.0,-1_the_xxxx_to_and
"during the summer months, i experience a decline income due to my employment. therefore, i request a one month payment extension with my auto loan company, chase. for the past almost fours years, my request for payment extension is granted. i have never been delinquent with my auto loan payment. however, on xx/xx/2019 my request for a one month payment extension was denied this year. i explained my situation to representative and the supervisor with no avail. after a lengthy discussion and waiting, i was informed the reason for the decline as it is not "" contractual ''. this reason for denial baffled me and therefore i emailed the office of xxxx xxxx executive director, communications, jpmorgan chase & co. a representative contacted me and stated chase will follow-up. about week later a representative of xxxx xxxx xxxx xxxx office called. the representative shared her role was help resolve the matter. the representative via conference call contacted the department handing my request. after, reviewing my information my request was still denied based on "" policy changes ''. i requested an explanation and representative stated a letter will be mailed with explanation. i have received xxxx letters the reason for denial was not "" policy changes ''. i would like cfpb help in exploring the denial of my payment extension request especially since i have been clear reason for denial.",-1,0.0,-1_the_xxxx_to_and
"this complaint is a follow up regarding a complaint # xxxx filed on cfpb. 

the original complaint was regarding a dispute detailed below. 

my laptop was stolen last year and someone used my information to book two flights from two different cities headed to the same destination. i immediately disputed the transactions as soon as i got a notification.i filed the complaint within an hour of getting notification that flights have been booked on my credit card. chase was extremely slow to respond and didnt do due diligence and contact the airline right away to cancel the flight and get me a refund. 
chase did a very poor job at investigating the incident and put the charges back on my credit card without doing a proper investigation. when i asked, i was told that i benefited from the transactions. clearly, i couldnt have flown from two different cities to the same destination. later, the airline also confirmed that i never took benefited from those flights. chase asked me for a bunch of documents and i provided all the documents including the police report for the stolen laptop, proof that the flights were booked under my name. however, the date of births used to book the flights were not mine. clearly, i couldnt have benefited from the services even if i wanted to. 
the way chase handled the dispute was extremely poor and after multiple bad experiences and inability of chase to resolve disputes, i am pretty positive that chase is horrible at resolving disputes. 
i am over that but this complaint i am filing is not about the original claim.please read below about this complaint. 

please read this carefully! 

after this incident, i contacted xxxx and inquired about the flight. they told me that they found too bookings for the same person headed to the same destination from two destinations and cancelled one of the bookings and issued a refund. chase has not contacted xxxx once to resolve this issue. xxxx has confirmed several times that they have issued me a refund and the money has been transferred to my bank account. however, chase hasnt issued me a refund. whenever i contact chase, they give me same old response. the case has been closed. i am not opening the same claim. its a new complaint. xxxx has issued me a refund and it hasnt been given to me by chase. xxxx 's customer service can not connect me to the accounting team and therefore it not possible for me to find the transaction and details.this is chase banks job! connect with them and find out whats going on. instead chase is asking me to contact xxxx and prove that the refund has been issued. xxxx is telling me to have my bank contact their accounting department because its a banks job to resolve this issues.now, i am filing a new complaint demanding my money with interest and all the time chase has wasted. 
i am attaching the documents that xxxx has provided me. chase has asked me to provide these documents. its chase 's job but i am doing this ob their behalf. 

xxxx is clearly stating that the bank has the funds. they have also provided me a document showing that transaction details that the refund was applied to my account. 

please issue me a refund. i have done everything i could have. please, do not close my complaint without issuing me a refund that xxxx has issued a long time ago! 
enough is enough!",-1,0.0,-1_the_xxxx_to_and
