text,topic,probability,topic_label
i have a chase credit card which is incorrectly reporting data on my credit report. the company is not helping resolve the issue.,-1,0.0,-1_the_xxxx_to_and
"i opened the saving account for the {$25.00} bonus. i was supposed to received the {$25.00} bonus after 3 consecutive auto transfers from checking to savings. i notice on xx/xx/2019 that automatic transfer was cancelled for not enough funds into my checking 's account. therefore, i put enough funds in my account on xx/xx/2019 requested that the executive team reactivate my automatic transfer for the month of xxxx. although ms. xxxx reached out to me from the executive office, she failed to try to resolve my concerns ( case # xxxx ).",-1,0.0,-1_the_xxxx_to_and
"i recently called to ask chase bank why they reported to the credit bureau that i was 30 days late on a payment that was already paid off. when i called i got this info : they showed that on the xxxx of xx/xx/2019 i was very late on my bill and owed xxxx to bring this balance down to xxxx and be finished with the bill. i paid that amount on the same day the xxxx to being it to xxxx. 

they say that i tried to make another payment for {$250.00} later that same day and in a few days that came back as a return payment. 

the man on the phone stated to me that if the payment went through then it would have meant that i had a credit on my account for xxxx since i didnt owe anything. 

they updated my account with charges and late fees from the return payment that i had no idea of since i thought i paid off the entire amount. they reported to the credit bureau that i was 30 days late for not paying what accrued to be {$56.00} the guy representing chase agreed with me that they were in the wrong for charging me the fees and said they would remove them. i still have {$2.00} in the negative that they are saying that i owe in the mobile app. 

additionally, because they reported me being late my credit score dropped 51 points. when i called back to ask if they can report that they made a mistake they said i would have to do that on my own. i think that's xxxx.",-1,0.0,-1_the_xxxx_to_and
"xxxx xxxx a sofa, love seat, table and chairs and was never delivered. debit card charged {$2400.00}. bank says visa denied claim, we have no furniture and no money.",-1,0.0,-1_the_xxxx_to_and
"i pre-ordered an item on xx/xx/xxxx and paid {$350.00} with a chase credit card. the merchant, xxxx xxxx, gave an estimated product shipment date of "" xx/xx/xxxx. '' after waiting for this item for a significant amount of time, i decided to cancel the order as it did not appear that the item would ever be completed and shipped. on xx/xx/xxxx, i requested a refund from the merchant, xxxx xxxx on xx/xx/xxxx, the merchant stated that my order was cancelled, and the refund would return to the original method of payment in five business days. the original method of payment was a chase credit card that i had since closed. on xx/xx/xxxx, i sent a secure message to chase requesting that the refund be transferred to one of my open chase cards. i also followed up with a phone call that same week, and the representative i spoke to informed me that funds that are sent to closed accounts would be sent via check through the mail and could not be transferred to any existing accounts. on xx/xx/xxxx, i received a letter from chase indicating that my "" disputed charge '' would remain on my account and "" the merchant is not willing to credit your account. '' i followed up with a phone call to chase describing that this was a refund, not a dispute. the representative informed me that they did not have access to closed accounts. i explained my previous attempts via phone and message to locate these funds. they informed me to try to send a secure message again this time emphasizing that the refund i am looking for is on a closed account and that the previous representative may have looked for the refund on a different account. on xx/xx/xxxx, i sent another secure message with this information as well as the emails i received from the merchant about the refund ( see attachment ).  on xx/xx/xxxx, i received a letter from chase with similar language about "" the merchant is not willing to credit your account '' and "" we consider the charge valid based on the results of our research '' ( see attachment ). on xx/xx/xxxx, i followed up with the merchant, xxxx xxxx, requesting an alternate way to receive this refund given that my credit card company apparently can not locate the funds. on xx/xx/xxxx, the merchant provided a screenshot with their records that the funds had been refunded ( see attachment ). this was my last exchange trying to resolve this between the credit card or the merchant.",-1,0.0,-1_the_xxxx_to_and
"a student loan with chase bank, they sold there accounts to xxxx - which now holds my account. this happened back in 2013. though i have made numerous attempts to contact them, they do not respond and they tell me know one works in that department any more so there is no one to contact. because of this, instead of saying sold on my credit report it shows that i am very behind on payments and it is hurting my credit. i have called them and mailed letter, and no response.",-1,0.0,-1_the_xxxx_to_and
"good morning my name is xxxx xxxx and i appreciate it if you could help me put a stop to chase bank cardmember services. 
in 2018 i wrote to chase asking for debt verification and what they sent me a statement which is not acceptable. i am asking the bank to validate the debt. instead i been receiving mail every month from them attempting to collect a debt. 
i have a right to know this information as a consumer. 

chase account # xxxx xxxx xxxx xxxx thanks in advance for your help.",-1,0.0,-1_the_xxxx_to_and
"i made a purchase of {$260.00} on xx/xx/xxxx. i made payments of {$160.00} on xx/xx/xxxx and {$260.00} on xx/xx/xxxx. the minimum payment was {$140.00}. the closing date was xx/xx/xxxx ( please see attached statement ). that statement ( xx/xx/xxxx ) shows that i had an outstanding purchase balance of {$230.00} on xx/xx/xxxx. i have enclosed the previous months statement to show that there were no other purchases prior to the one on xx/xx/xxxx. 
however, when i got the xxxx statement, it shows that i still have a purchase balance of {$210.00}. i have a promotional balance (@xxxx ) in xxxx of {$6900.00}. in xxxx, the promotional balance was {$7200.00} - a difference of {$380.00}. 

apparently, the payment ( above the minimum payment required by chase ) i thought would be applied to the purchase (@ 21.49 % ) was applied to the promotional balance first. it is my understanding that once the minimum payment has been met, payments in excess of the minimum would be applied to the highest interest rate balance first. this is not the first time that chase has skirted us financial law to turn a larger profit. i need help in rectifying this problem, because my logic fell on deaf ears at chase. thank you in advance for your assistance. 

respectfully, xxxx xxxx xxxx",-1,0.0,-1_the_xxxx_to_and
can you please remove inquiry,-1,0.0,-1_the_xxxx_to_and
i have reached out to xxxx several times in attempt to have this fraudulent inquiry removed i was told that i need to call and contact the original creditor that placed this inquiry on my report. i have made several attempts to get chase bank to contact the bureau and remove this inquiry that was not authorized by me. they seem to not be able to get me to the right person to take care of this issue no matter how many attempts i have made nobody seems to understand what i'm talkin about. i want chase bank to have this fraudulent inquiry removed from my credit report before i take legal action. i i have never requested any kind of credit with chase bank or hold any account with them. i have an iquiry from xx/xx/2019. i want this matter resolved.,-1,0.0,-1_the_xxxx_to_and
