complaint_what_happened,ticket_classification
"i had just paid xxxx with my debit card for an amount of {$120.00} so my services to my cable would not get interrupted because i moved out of my previous apartment and transferred my services on xx/xx/2018. 

xxxx ended up drafting money out of my chase checking account for {$370.00} which i did not authorize and i had already had charges pending on my account and xxxx allowed this transaction without my permission. 

and now i have 3 insufficient fees of {$34.00} which totals {$120.00} and now my account is over drawn - {$500.00} dollars i've contacted xxxx, and also i've contacted fcc as well as the fdic on this issue and i did submit an complaint with the cfpb and i am not getting a response in regards to this problem on my account i get social security and is on a fixed income this problem needs to be addressed immediately thank you.",Checking or savings account + Checking account
i am xxxx xxxx. my car is a xxxx xxxx xxxx xxxx xxxx xxxx xxxx. chase auto finance wrongfuly repossessed it in xx/xx/xxxx not in xx/xx/xxxx. they only see my xxxx payment. i was paying even when chase branches was closed due to covid-19. i paid {$600.00} in xxxx {$1000.00} in total on xx/xx/xxxx in a chase branch when chase branches was closing due to xxxx. chase sent me a letter saying i don't have to pay during the six month grace period but i paid anyway. i have all the proof of payments. they refused to reboot the whole system.,Vehicle loan or lease + Lease
i have spoked with chase banking representatives who keep transferring me to different departments and are unwilling to remove the hold on my account. they are rude and disrespectful and are not allowing me to use my chase debit card with the xxxx logo. i have completed the steps with my email address to verify that i am able to use the card. why is the fraud department harrassing me and asking me to step inside a branch. i am xxxx and do not feel comfortable steeping inside a branch. this is a invasion of my privacy. please assist me. thank you.,Checking or savings account + Other banking product or service
"i went to my local chase bank atm to pull out my monthly fixed amount of xxxx . but this time when i put in my card after i had gone through my normal button routine, something went wrong ... instead of giving me my money the atm machine had a message that read "" having problem printing receipt, try again later '' and it printed a receipt with a sequence number. i couldnt do anything because this was xxxx on a saturday, and they were closed. the date was xx/xx/17. so on monday the xxxx, i went inside the branch to get some answers. i figured they could see the atm info and see i never got anything. but no they couldnt help me besides telling me i had to file a claim on xxxx. which is the state of washingtons government assistance agency. like i had said i am on a very limited fixed amount each month and the bank had just taken it all from me.","Money transfer, virtual currency, or money service + Virtual currency"
"i am a consumer in pursuant to xxxx xxxx xxxx, xxxx, xxxx, and jpmcb is in violation of 15 usc805 communication in connection with debt collection ( a ) communication with the consumer generally without the prior consent of the consumer given directly to the debt collector or the express permission of a court of competent jurisdiction a debt collector may not communicate with a consumer nor any 3rd party in connection with collection of any debt i never received notice from xxxx  xxxx, xxxx, nor jpmcb consent to furnish my data i did not receive a notice from them giving me 30days to dispute any debt in pursuant to 15 usc 1692e 807 a debt collector may not use any false deceptive or misleading representation or means in connection with the collection of any debt the following conduct is a violation of credit bureaus reporting without my consent created an profile in my name reported my name and address with a false amount and no contract. they stole my identity this is a {$1000.00} violation. in pursuant to title 31 u.s.c. sec.3123 all debts are united states obligations! in pursuant to the false claims act ( fca ), 31 usc 3729-3733",Debt collection + Credit card debt
on xxxx and xxxx 2016 someone tried to take out a car using my name but was unsucessful since then i have numerous amount of hard inquiries only in xxxx and xxxx 2016. i have since then filed a police report about the situation. i have contact these companies but have gotten no response from them even though i have a identy affidavit and a police report.,"Credit reporting, credit repair services, or other personal consumer reports + Credit reporting"
"i contacted chase bank to re-finance my recently modified mortgage. loan officer was fully aware of the date loan modification, and should have known prior to my application that it would be declined due to company policy. now my credit rating is again reduced due to their negligence!",Mortgage + Conventional fixed mortgage
"my husband 's business card was stolen and so he had to use our chase xxxx card to make payment on xx/xx/xxxx for {$500.00} and then again on xx/xx/xxxx for {$5100.00}. we had n't used our xxxx card for several years prior to this. my husband received his new business card and frankly forgot about the two charges he made on the xxxx card and never used it again. we received no statements from chase xxxx for the charges he made. on xx/xx/xxxx i received a call that our account was several months past due. i had no clue of the charges and thought perhaps they were fraud because they were on a card we never used but i recognized one of the merchant names and said i would talk to my husband and get back to them. my husband confirmed the charges and i called back and said they were ours and i paid them that day. however i did n't feel that the {$320.00} in fees and finance charges was fair because we had n't ever gotten a statement. the customer service rep told me they were being sent electronically to email address xxxxxxxxxxxx which was an old email address that i had no choice in closing several years prior. also i never requested them to be sent to me electronically i have statemebte sent to our physical address. i asked why statements were n't sent through postal after a couple of months of non- payment because they had my physical address and i was told they do n't do that. how about a phone call i asked because if you look at the history on my account for the seven years we used it, it was paid in full and by the due date every month. she said they do n't do that either. she was willing to remove three late fees but would n't remove any more fees. i do n't feel that it is fair to have my husband 's and my credit ruined because we did n't receive notice for over four months that our account was outstanding. we had a current physical address and phone number on file and should have been contacted prior to $ 300+ in fees accumulating on our account.",Credit card or prepaid card + General-purpose credit card or charge card
"chase bank, xxxx, xxxx xxxx, xxxx, xxxx xxxx, jp morgan, and others have my information and show money in account but refuse to allow me to access. i get emails and letters in mail asking me about bankcards, debit cards, credit cards that i never received. i have recently seen many types of financial things like loans, student loans, taxes for amounts like xxxx from attorney general of texas due to a partnership i was left due to intellectual property stolen and sold around the world that i arbitrated and became partners with xxxx and various other companies. gained many stocks. told by xxxx xxxx i was granted xxxx xxxx when pres. trump was given xxxx xxxx to disperse to people who had donated a large sum of money, which i had of the amount if xxxx xxxx while thieves were stealing from me. decided i would rather give it to charity than thieves. did everything to stop but it's complicated. which i believe was orchestrated for that very reason, too many things happening at the same time which was obvious since the mistakes are not typical and you generally never see those types of mistakes happen to anybody which had now become apparent.",Checking or savings account + Checking account
"due to marital problems, we have applied for a short sale with chase bank. i also have an attorney who was retained to help with foreclosure defense. because of this, chase will not allow the mitigation company who is negotiating the short sale to discuss the account, even though i have signed an authorization and my attorney has also sent a written, signed letter verifying that they are authorized. chase has promised the negotiators on more than 15 occasions that they will get a call back from the appropriate department, and no one has ever called them. since xx/xx/2017 i have submitted 2 different complete applications for assistance and have not once receive a response from chase. we have gotten their foreclosure attorney involved as well and they have not been any assistance in seeing why chase will not communicate with anyone about the short sale specifically. i am afraid that i am not getting a good chance at avoiding the foreclosure and we have had a viable offer on this home since xx/xx/2017!",Mortgage + Conventional home mortgage
"the following disclosures required to be included in an application for a private educational loan pursuant to 12 u.s.c. 1026.47 ( truth in lending, regulation z ) were not included in any of the applications for the various chase loans : interest rate or range of interest rates ; whether the interest rate is fixed or variable ; whether the interest rate may increase after the consummation of the transaction ; whether the interest rate will be higher if the loan is not co-signed or guaranteed ; itemization of fees to obtain the loan ; itemization of late fees ; repayment terms ; cost estimate ; federal student financial assistance as an alternative to private education loans ; the interest rates for federal assistance and how to obtain more information about federal assistance. 
the following disclosures required to be included at the approval stage for a private educational loan pursuant to 12 u.s.c. 1026.47 ( truth in lending, regulation z ) were not included for any of the various chase loans : interest rate or range of interest rates ; whether the interest rate is fixed or variable ; whether the interest rate may increase after the consummation of the transaction ; itemization of fees to obtain the loan ; itemization of late fees ; repayment terms ; cost estimate ; federal student financial assistance as an alternative to private education loans ; the interest rates for federal assistance ; how to obtain more information about federal assistance ; consumer 's right to accept the loan until the expiration of the acceptance period and the date upon which the acceptance period expires. 
the following disclosures required to be included at the final disclosure stage for a private educational loan pursuant to 12 u.s.c. 1026.47 ( truth in lending, regulation z ) were not included for any of the various chase loans : consumer 's right to cancel until the expiration of the cancellation period and the date the cancellation period expires. 
additionally, chase has failed to provide evidence that funds for the academic period from xxxx 2008 to xxxx 2008 were actually disbursed, even though chase is demanding repayment of same, despite repeated requests.",Student loan + Non-federal student loan
"on xx/xx/2017, my house was broken in and {$60000.00} face value of us savings bonds were stolen. i called xxxx xxxx police and a crime report was written. i also reported to the treasury dept for the bonds being stolen. treasury dept directed me to submit some forms to verify identity, to identify the numbers of the bonds, and to convert the paper bonds into ibonds. 
onxx/xx/2017, chase bank in xxxx arizona opened bank accounts ( # # xxxx & xxxx ) for a person in the name xxxx xxxx xxxx by means of my social security number and california driver 's license number, and let this xxxx xxxx xxxx cash the stolen bonds for {$94000.00}. i do not understand why chase bank let this person redeem the stolen bonds even though the names on the bonds do not match this person 's name. 
chase bank hurt me gravely. 
1.treasury dept asked me to pay back the {$94000.00} plus interest and penalty charges and sent it for collection.

2.treasury dept reported to credit agencies for a delinquent account of over {$130000.00} and interests were accrued daily.

3. irs asked me pay tax on the earned interest as if i had cashed the bonds",Checking or savings account + Other banking product or service
"chase has informed me that they plan to close one of my credit card accounts. this account has been inactive for quite sometime with a xxxx balance. they informed me when this card expires they will in fact close this account. the problem with this is when they do close this account this will cause a reduction in my fico score, i 'm currently saving and planning to make a purchase of a new home. this fico score drives the interest rate and my new payment amount. if chase should choose to close this account and my score decreases due to this it will cause a financial hardship to me and my family, costing me tens of thousands of dollars in a course of a 30 year note. this is assuming i can even get approved at that time due to this. i 'm bringing this up as many years back when the economy tanked i never missed any of my payments they decided to reduce my line of credits setting off a chain reaction of many of my accounts pulling back on my there line of credits too. this at time could have cost me my business however i was able to weather the storm and endure the added costs inflicted upon me and my family. i 'm attempting to be proactive this time with no plans to simply roll over on allowing the big banks to again damage me. it would be different if i was bad paying consumer however i have literally 20 plus years of perfect credit when i say perfect credit what i mean is never miss a payment never not fulfill a commitment. this is what used to count not inquires, closed or open accounts or age of those accounts.this fico score is driven off many factors and when a bank decides to hurt me for doing nothing wrong it is not fair to the consumer. if i were to harm them by not paying them i would end up in court. the same should apply to them as they should be held to a higher standard. this information is in regards to account ending in xxxx.",Credit card or prepaid card + General-purpose credit card or charge card
