complaint_what_happened,ticket_classification,processed_text
"due to the horrific covid19 virus and the severe loss of jobs and/or income, i sadly speaking have been affected by this impact as well! 

i did get approved by JP Morgan Chase Bank to participate in their program where they agreed to allow ME to defer the mortgage for 3 months ( 90 days ), but what is extremely cruel, sad and inappropriate is due to the Fact that after the ( 90 day ) period, the bank is expecting the home owners to cough UP all of the money for the ( 90 days ) and pay them back ALL AT ONCE! 

this is a very Poor Business Tactic and it is extremely offensive, uncalled for, unprofessional, ridiculous and Just Not Fair and Not Right! 

i am still suffering by the way! 

By Right : they should be adding on the ( 3 ) Deferred Payments To The End Of The Loan AND Modifying Those Such Loans such as MINE Automatically With A Guaranteed, Lower, Fixed Monthly Mortgage And Interest Rate At Least For 5-10 Years That Is Still Guaranteed To Go Down Every Month Like It Has So Far! 

Moving Right Along : i did hear that they Can Offer A Modification which would be a Fixed Lower Mortgage Payment with a Fixed Lower Interest Rate for the Life Of The Loan and that Would Have Helped because I could probably ask one of my close relatives to HELP ME out somewhat with MY Mortgage. 

it just seems like the bank just wants ME to Lose My Home and i sincerely hope that that is Not The Case! 

for your information : my Loan Number with JP Morgan Chase Bank is : Loan Number : # XXXX thank you. 

sincerely yours, XXXX XXXX XXXX XXXX JP Morgan Chase Bank Customer For Over 10 Years +",Mortgage + Conventional home mortgage,horrif covid19 virus sever loss job incom speak impact jp bank particip program agre defer mortgag month day cruel inappropri fact day period bank home owner money day pay extrem unprofession right way right ad payment end loan modifi loan mine automat guarante month interest rate year month hear offer modif mortgag payment fix interest rate life loan close relat help bank home sincer case inform loan number jp bank loan number thank sincer jp bank custom year +
"On XX/XX/XXXX, I went to a local branch of CHASE bank where I have a checking and savings account ( minimum balance of {$15000.00} maintained to avoid monthly charges ) and a couple of XXXX credit cards ( XXXX and CHASE Freedom ) and completed a new credit card application with a customer service representative. I have nothing negative to say about the representative or the branch manager who I also spoke with briefly. 


I was applying for the CHASE XXXX XXXX XXXX XXXX. I told them that I had been denied the card when I had previously applied for it last XX/XX/XXXX. I thought I'd reapply for it since it had been 8 months since the denial. The branch people did not discourage me from reapplying. They even called the credit card department and got a non-committal response from them. The reason for my optimism was that my FICO score during this entire 8-month period has been over XXXX and has been to the best of my recollection always rated Excellent ever since I recall checking my scores. 


Today, I received another rejection letter. The only reason given was that there were "" too many credit cards opened in the last two years associated with you. '' I thought that the FICO score already reflected my having "" too many credit cards opened in the recent past. '' In spite of that, my FICO score is and has always been exceptionally high. Incidentally, I did an honest analysis of my financial status using your XXXX XXXX XXXX and scored a respectable XXXX.",Credit card or prepaid card + General-purpose credit card or charge card, branch chase bank check account balanc maintain month charg coupl credit card chase freedom credit card custom briefli chase appli month denial branch peopl discourag reappli credit card depart reason fico score period alway rate excel check score today letter reason credit card year fico score alreadi credit card past. score alway incident analysi financi status use score respect 
on XX/XX/2016 I went online and purchased an auto part for a car repair. I called the online company later that day to cancel the order they told me that it would take 2 to 3 business days for the credit to hit my account. On XX/XX/2016 I checked my account online and I noticed the charge for the part as I scrolled down to XX/XX/2016 I noticed the credit back into my account so I contacted Chase and asked the representative why is the credit to my account being offset by the charge? He said this is the way chase post a credit into the account. I said it 's basic math that a negative and positive gives you XXXX so where is the credit back into my account. He of course says it was done on the day of the charge but if on that day my account had XXXX dollars and the part cost XXXX then my balance would be XXXX so if I cancel the part then I should see XXXX credit back to my account. But that 's not what happened Chase is inflating my balance with the credit with the retailer cancelling the charge by offsetting the charge so it 's a wash like nothing happened but there is no credit back to me. Chase is back posting which is not correct the posting ledger should work in real time not posting credits and debits based on their best interest.,Bank account or service + Checking account,onlin purchas auto part car repair onlin compani day order told day credit account check account charg part scroll credit chase ask credit account charg way chase post credit account math posit  credit account day day dollar part cost  balanc part credit account chase balanc credit cancel charg charg wash credit chase post correct post ledger work time post credit debit base interest
"I am not familiar with XXXX pay and did not understand the great risk this provides to consumers. I believed this to be safe as it was through my Chase bank app. I have been with Chase for almost 20 years and trust their mobile banking and now am sadly regretful. I am being told to deal with the merchant except the merchant has refused to answer my inquiries and now shut down communication. The website of the said merchant looks entirely legitamite and is even using the faces of highly successful brands with individuals linked to their social media without their consent. In performing research of the phone number and other associated information available through PI it is very clear this merchant is continually creating new account title holders to perpetuate this cycle of fraud. Furthermore as this is a non fixed voip being used I believe they are fraudulently using the identity of the real XXXX XXXX Chase Bank told me they wouldnt even investigate, report this to XXXX or allow me to file a report or take any potential recourse for the matter. There isnt even a protocol in place to address this issue yet! The chase mobile app verbiage makes a point to deceptively position this app as under the branch of Chase banking service and as such, imply a degree of entitlement to its customer service protection protocols. Chase has your back which reads on the very same link as the XXXX tab ... .is most certainly not true. This places consumers at risk when using this mobile service and does not flag the concern of Chase in the slightest. At minimum the risk of using XXXX on your mobile banking app must realistically be made aware to the public as it stands to be potentially devastating I have plans to file reports with all corresponding authorities as well as notify and contact the individual whose identity is being misused to inform him. I also intend to urge My neighbor who works in television that the news network should perhaps present the risk of using XXXX and XXXX integrated banking apps to the public. I understand fraud and scamming are overwhelming rampant but a banking mogul such as Chase not having any recourse of action is simply a risk that needs to Be disclosed more throughly. I would not have clicked on the to link to the extent I did if I would have been better informed.",Checking or savings account + Checking account,pay risk provid consum chase bank app year trust mobil bank regret deal merchant merchant refus answer inquiri websit look legitamit face success brand individu consent research phone number avail pi merchant continu creat account holder perpetu cycl fraud furthermor fix voip use believ fraudul use  chase bank report report matter place address issu chase mobil app point decept posit app branch bank servic degre entitl custom protect protocol link tab place consum risk use mobil servic flag concern chase slightest minimum risk use bank app stand plan report correspond author contact individu misus inform neighbor work news network perhap present risk use bank understand fraud scam overwhelm bank mogul chase action simpli risk link extent inform
"Hello, I would like to challenge the ruling that was mailed to me recently deny my claim by Chase Bank in regards to the that happened on XX/XX/2019.The charge was due to a Scam in which I was scammed out of over 400 $ by this individual/sneaker retailer.The individual/retailer was contacted by me in regards to some sneakers they had been advertising online .I sent the money through XXXX XXXX for two separate purchases one for XXXX and the other for approx 160 .I would like the transactions reversed due to the fact I never received the merchandise and the merchant has since disappeared and removed all online listings of products.I have contacted my bank and provided them with pictures of the transaction details and they have denied me my reversal .I do however feel like the agent that I intially spoke to has some bias towards me due to our previous interaction prior to the denial .I am a working individual and I have never been late with any payments and have payed off thousands of dollars to Chase Bank credit card .Chase recently sent me 2 letters denying both claims and the explanations for denial sound skeptical.Please help me! 

thankyou for your time and I appreciate your review of this Matter",Credit card or prepaid card + General-purpose credit card or charge card,hello challeng rule mail deni claim bank regard charg scam retailer.th individual/retail contact regard sneaker advertis onlin money  separ  .i transact fact merchant sinc remov list products.i contact bank provid pictur transact detail deni feel spoke bias interact work payment pay dollar bank credit card letter deni claim sound time review matter
"When l checked my XXXX Credit Report, l noticed that an unknown hard inquiry was made by CHASE CARD on XX/XX/2016 which l have no idea about it at all.","Credit reporting, credit repair services, or other personal consumer reports + Credit reporting",l check credit report inquiri card l idea
Identity theft occurred : While I was in XXXX a man with a fake id and fake credit card walk into a chase bank in XXXX and withdrew {$5200.00} from one of my bank accounts. I realized this happend and went to a chase back in XXXX the next morning. At that point we filed identity theft with all XXXX credit beuros and also with Chase. The XXXX managers who were in the room with me than showed me a closed caption video of the man in XXXX withdrawing the money. Proving that not only did case not do there job in checking from proper I 'd in the XXXX branch but also showed me hard proof that indeed someone had stolen my id. They all admired worng doing and told me I would relieve the money within 30 days. Since I have learned that Chase has denied my claim and will not give the money back to me. They told me that because it was the same XXXX drivers Licence used in XXXX and XXXX that it had to be me. Also I have never been to XXXX. And chase knows that becuse they at the time were the only bank and credit card I used. And I had never booked a trip to XXXX.,Bank account or service + Checking account,ident theft occur man credit card bank bank account morn point file ident theft credit beuro chase manag room show caption video man money case job branch proof inde someon id admir worng money day sinc chase deni claim money driver licenc use  chase becus time bank credit card use book trip 
"On XX/XX/XXXX I was charged by XXXX XXXX for {$3000.00} The services to be rendered was to provide businesses that were actively looking for financing. Leads that were not valid had a return policy with no contract and claims of easy cancellation. The {$3000.00} was prepaying for leads not yet received. Very quickly I realized that the leads were fake and the company had a reputation for selling bad data and bad leads. I immediately sent emails and called the company to cancel our account and discontinue receiving leads. The company either didn't respond or continued to pass me to different departments or people that I needed to speak with. Ultimately as I continued to call the phone number for the company was disconnected and felt there was no other avenue to cancel other than through the credit card ( Chase XXXX ). I began my dispute with Chase. I had several calls back and forth with Chase going as far as three-way conferencing XXXX to show that the phone number was disconnected. They assured me this was a very simple matter and that it would be resolved quickly. On XX/XX/XXXX I received the first official written response from Chase that XXXX claimed that the charge was valid and that I had never canceled the service. The supporting document that Chase sent to me that I have copies of are completely illegible. On that letter that was dated XX/XX/XXXX they gave me a deadline to respond by XX/XX/XXXX which is obviously impossible as the date of the letter was after the deadline. I called Chase again and express my worry that the date of the letter and the date of the deadline didn't match up, and that the supporting documents that XXXX had provided was completely unreadable, and had no way of responding as I did not know what it was that was sent. I was told that they were handling it and not to worry about the mismatching dates. On XX/XX/XXXX I received a letter stating that they had completed research of the dispute and ruled in favor of XXXX. The provided documents did not have any logical response to the fact that I was not able to cancel as I was not able to reach anyone by email or phone through repeated attempts. I called Chase who told me that this was normal and that I simply needed to fax them a letter stating that I would like to reopen the dispute. I did so immediately. On XX/XX/XXXX I received a letter stating that because the original charge was too old they had closed the case and there was nothing I could do about it. I am not after repeated attempts with Chase to get further explanation on the timeline and mistakes contacting the CFPB to help with the issue.",Credit card or prepaid card + General-purpose credit card or charge card,charg render provid busi look financ return polici contract claim easi cancel prepay lead fake compani reput lead email call compani cancel account discontinu lead compani pass depart peopl speak continu call phone number compani cancel credit card  chase sever call chase show phone number disconnect matter receiv claim charg servic support document chase complet illeg letter date respond imposs date letter deadlin chase express worri date letter date document  complet unread way respond sent worri mismatch date letter state complet research disput rule favor provid document fact cancel abl email phone repeat attempt call chase letter state disput immedi letter state origin charg case chase get timelin mistak contact cfpb help issu
"I received an SBA loan for my business via chase bank for {$140000.00} on the XXXX of XXXX, I went there withdrew {$5000.00} to make a business purchase which I was allowed to. On Monday I went to the bank to make other payments on my business but was told to come back based on appointment the next day. 

The next day I went to the bank and was told my account and funds had been frozen along with a letter sent by mail that they were taking actions to close my bank account based on suspicious activity on the account. I went to the bank to find out more about this claims and they insisted that if I wanted to retain the account I needed to bring prove of the business along with the loan. I sent in all documents of Incorporation, EIN documents, my loan documents and all documents pertaining to my business. 

Was told within 2 days I would get a response from them. Its been more than a month and some days and all I get from them is a run around, they tell me I need to register the business in Florida but its already a registered business in Washington where the business is actually located and Florida is just my state of residence, yet they insist that I must register it in Florida which I dont find advisable since I do not operate my business in Florida, Secondly I have taken all prove of business to them already which should be sufficient enough but rather I am getting a run around each time I visit the bank or call to check on my account status. 

I have been given the run around over and over, I called the number I was given by the bank manager and after calling and being on hold for over hours they said they were going to hold on to the money in my account without giving any reason to it. 

Please I would like you to assist in getting this issue resolved.",Checking or savings account + Savings account,receiv sba loan busi bank busi purchas allow bank payment busi base appoint day day bank account fund letter mail action bank account base suspici activ account bank find insist retain need bring busi loan document incorpor document loan document document pertain busi day month day regist washington busi locat florida state resid dont busi florida prove busi alreadi time visit bank call check account status number bank manag call hour money account reason resolv
"I am a Chase private banking client with Chase Sapphire checking account. Yesterday my family in XXXX used wire transfer to transfer {$5000.00} to my Chase Sapphire checking account. For Chase Sapphire checking account, per Chase policy, there should be no wire transfer fee for either outgoing or incoming wire transfers. Meantime, my family already paid separately the wire transfer fees to XXXX bank, in which they initiated this wire transfer. Therefore, the amount that I should receive in my Chase checking account should be exactly {$5000.00}. However, there was only {$4900.00} deposited into my Chase checking account from this wire transfer. Apparently, Chase charged me {$15.00} hidden fee for this incoming wire transfer. My family further inquired with XXXX bank and was told by XXXX bank that the wire transfer amount that I should receive should be exactly {$5000.00}. XXXX bank confirmed that the missing {$15.00} must be charged by Chase as the receiving bank.

I reported this issue to Chase Private Client customer service. However, Chase representative treated me very impatiently and unprofessionally. She didn't resolve this issue at all. I am very disappointed with your Chase Bank customer service. 

I am escalating this issue to CFPB, and am requesting Chase to immediately post the {$15.00} to my Chase Sapphire Checking account because Chase should NOT charge me this {$15.00} fee at all.",Checking or savings account + Checking account,chase privat bank client chase check account yesterday use wire transfer transfer chase check account chase check account chase polici wire transfer fee incom wire transfer meantim alreadi separ wire transfer fee bank wire transfer therefor amount receiv chase check account howev deposit check account wire transfer appar fee incom wire transfer inquir bank bank wire transfer amount bank confirm chase bank report chase privat client custom servic howev chase unprofession issu disappoint bank custom servic issu cfpb request chase immedi post chase check account chase charg fee
